gender,manner_of_death
Female,Natural
Female,Suicide
Female,Cannot be Determined
Female,Natural
Female,Natural
Female,Natural
Female,Pending Investigation
Female,Suicide
Female,Homicide Justified (Law Enforcement Staff)
Female,Natural
Female,Natural
Female,Homicide Justified (Law Enforcement Staff)
Female,Natural
Female,Suicide
Female,Homicide Justified (Law Enforcement Staff)
Female,Homicide Justified (Law Enforcement Staff)
Female,Accidental
Female,Accidental
Female,Accidental
Female,Natural
Female,Natural
Female,Natural
Female,Natural
Female,Natural
Female,Accidental
Female,Suicide
Female,Natural
Female,Suicide
Female,Natural
Female,Homicide Justified (Law Enforcement Staff)
Female,Natural
Female,Natural
Female,Natural
Female,Natural
Female,Accidental
Female,Homicide Justified (Law Enforcement Staff)
Female,Natural
Female,Natural
Female,Natural
Female,Natural
Female,Natural
Female,Accidental
Female,Natural
Female,Homicide Justified (Law Enforcement Staff)
Female,Natural
Female,Natural
Female,Accidental
Female,Natural
Female,Homicide Justified (Law Enforcement Staff)
Female,Suicide
Female,Natural
Female,Natural
Female,Natural
Female,Cannot be Determined
Female,Accidental
Female,Suicide
Female,Natural
Female,Suicide
Female,Natural
Female,Accidental
Female,Natural
Female,Natural
Female,Natural
Female,Accidental
Female,Natural
Female,Natural
Female,Natural
Female,Natural
Female,Natural
Female,Pending Investigation
Female,Natural
Female,Suicide
Female,Suicide
Female,Natural
Female,Natural
Female,Homicide Justified (Law Enforcement Staff)
Female,Cannot be Determined
Female,Natural
Female,Natural
Female,Natural
Female,Suicide
Female,Natural
Female,Natural
Female,Homicide Justified (Law Enforcement Staff)
Female,Natural
Female,Accidental
Female,Natural
Female,Natural
Female,Natural
Female,Suicide
Female,Natural
Female,Natural
Female,Natural
Female,Homicide Justified (Law Enforcement Staff)
Female,Accidental
Female,Natural
Female,Homicide Justified (Law Enforcement Staff)
Female,Accidental
Female,Natural
Female,Homicide Justified (Law Enforcement Staff)
Female,Natural
Female,Natural
Female,Homicide Justified (Law Enforcement Staff)
Female,Natural
Female,Natural
Female,Natural
Female,Accidental
Female,Natural
Female,Accidental
Female,Accidental
Female,Natural
Female,Natural
Female,Natural
Female,Natural
Female,Suicide
Female,Natural
Female,Suicide
Female,Natural
Female,Accidental
Female,Natural
Female,Homicide Willful (Other Inmate)
Female,Natural
Female,Natural
Female,Natural
Female,Pending Investigation
Female,Natural
Female,Natural
Female,Accidental
Female,Natural
Female,Pending Investigation
Female,Natural
