TOXICITY,black,white,blended,,correlation
0.096492462,0,0,0,,0.029407211
0.017991407,0,0,0,,
0.065860905,0,0,0,,
0.667165935,0,0,0,,
0.322414666,0,0,0,,
0.663428009,0,0,0,,
0.136357471,0,0,0,,
0.146192551,0,0,0,,
0.012936623,0,0,0,,
0.032982055,0,0,0,,
0.150509447,0,0,0,,
0.039685551,0,0,0,,
0.203032494,0,0,0,,
0.30755347,0,0,0,,
0.150509447,0,0,0,,
0.07540787,0,0,0,,
0.491391569,0,0,0,,
0.387068063,0,0,0,,
0.027391043,0,0,0,,
0.491391569,0,0,0,,
0.494468778,0,0,0,,
0.028887436,0,0,0,,
0.093944184,0,0,0,,
0.136357471,0,0,0,,
0.397674263,0,0,0,,
0.250604719,0,0,0,,
0.523488998,0,0,0,,
0.082610302,0,0,0,,
0.072296411,0,0,0,,
0.11354246,0,0,0,,
0.695927858,0,0,0,,
0.228502423,0,0,0,,
0.079503708,0,0,0,,
0.60385263,0,0,0,,
0.136357471,0,0,0,,
0.30755347,0,0,0,,
0.088450611,0,0,0,,
0.23175551,0,0,0,,
0.046902075,0,0,0,,
0.205940574,0,2,2,,
0.322414666,0,0,0,,
0.190243006,0,0,0,,
0.037278336,0,0,0,,
0.738612592,0,0,0,,
0.491391569,0,0,0,,
0.014889268,0,0,0,,
0.366292357,0,0,0,,
0.131193683,0,0,0,,
0.118261307,0,0,0,,
0.027804954,0,0,0,,
0.136357471,0,0,0,,
0.054002959,0,0,0,,
0.717629135,1,0,1,,
0.052088585,0,0,0,,
0.020374214,0,0,0,,
0.799064636,0,0,0,,
0.026037024,0,0,0,,
0.517386198,0,0,0,,
0.065404221,0,0,0,,
0.638513923,0,0,0,,
0.441052765,0,0,0,,
0.322414666,0,0,0,,
0.109612994,0,0,0,,
0.136357471,0,0,0,,
0.06730745,0,0,0,,
0.089935854,0,0,0,,
0.513441086,0,0,0,,
0.006374002,0,0,0,,
0.098430939,0,0,0,,
0.13182269,0,0,0,,
0.87031424,1,0,1,,
0.069934018,0,0,0,,
0.109612994,0,0,0,,
0.438133955,0,0,0,,
0.077121101,0,0,0,,
0.150509447,0,0,0,,
0.322414666,0,0,0,,
0.038887832,0,0,0,,
0.218138978,0,0,0,,
0.508155107,0,0,0,,
0.017256269,0,0,0,,
0.149075538,0,0,0,,
0.214162439,0,0,0,,
0.096022554,0,0,0,,
0.202489361,0,0,0,,
0.491391569,0,0,0,,
0.039187774,0,0,0,,
0.113199979,0,0,0,,
0.370699525,0,0,0,,
0.013133928,0,0,0,,
0.108117566,0,0,0,,
0.51299268,0,0,0,,
0.053405527,0,0,0,,
0.056081034,0,0,0,,
0.351126254,0,0,0,,
0.383916289,0,0,0,,
0.623161256,0,2,2,,
0.50055027,0,0,0,,
0.33847931,0,0,0,,
0.20875898,0,0,0,,
0.023342516,0,0,0,,
0.100763597,0,0,0,,
0.128272206,0,0,0,,
0.136357471,0,0,0,,
0.249377534,0,0,0,,
0.123451695,0,0,0,,
0.102556087,0,0,0,,
0.222162247,0,0,0,,
0.01244803,0,0,0,,
0.42881161,0,0,0,,
0.30755347,0,0,0,,
0.104602031,0,0,0,,
0.098050222,0,0,0,,
0.30755347,0,0,0,,
0.108851574,0,0,0,,
0.827910364,0,0,0,,
0.868423581,0,0,0,,
0.109612994,0,0,0,,
0.046433471,0,0,0,,
0.507202923,0,0,0,,
0.02785168,0,0,0,,
0.029324226,0,0,0,,
0.019906249,0,0,0,,
0.157522798,0,0,0,,
0.252157867,0,0,0,,
0.098760583,0,0,0,,
0.150509447,0,0,0,,
0.218104631,0,0,0,,
0.150509447,0,0,0,,
0.642791092,0,0,0,,
0.491391569,0,0,0,,
0.491391569,0,0,0,,
0.23318854,0,0,0,,
0.463365316,0,0,0,,
0.322414666,0,0,0,,
0.0910706,0,0,0,,
0.03047134,0,0,0,,
0.554385364,0,0,0,,
0.069630034,0,0,0,,
0.136357471,0,0,0,,
0.81357944,1,0,1,,
0.014888164,0,0,0,,
0.249999568,0,0,0,,
0.122867003,0,0,0,,
0.044703841,0,0,0,,
0.444861829,0,0,0,,
0.136357471,0,0,0,,
0.084976502,0,0,0,,
