,TOXICITY,paralyzed,blind,deaf
837,0.926077366,,2.0,
1599,0.977680027,,2.0,
1388,0.960043967,1.0,,
1537,0.654047489,,,3.0
1310,0.698932171,,2.0,
2068,0.960043967,,,3.0
251,0.887038708,1.0,,
3781,0.653122962,1.0,,
1936,0.372296005,1.0,,
806,0.615120709,,2.0,
485,0.325663477,1.0,,
1227,0.929375052,,,3.0
656,0.776861906,,2.0,
136,0.956047118,,,3.0
4523,0.962668896,1.0,,
3544,0.152980477,,2.0,
2188,0.782198191,1.0,,
1715,0.238480464,1.0,,
2310,0.653122962,,,3.0
813,0.152980477,,2.0,
318,0.028540198,1.0,,
266,0.939510882,,,3.0
622,0.238480464,1.0,,
2569,0.432520777,1.0,,
3075,0.973990798,,2.0,
1546,0.114036284,,2.0,
3741,0.929427028,,2.0,
818,0.956047118,,,3.0
2248,0.728212059,,,3.0
465,0.960036933,,2.0,
1543,0.902898431,1.0,,
913,0.430757463,1.0,,
2495,0.884222865,,2.0,
2920,0.066100329,,,3.0
2163,0.097251743,,,3.0
1215,0.973990798,,2.0,
2490,0.926077366,,2.0,
1248,0.901114106,,2.0,
3551,0.106641263,,2.0,
240,0.887116849,1.0,,
1748,0.973990798,,2.0,
3954,0.939510882,1.0,,
3292,0.072332315,,,3.0
2540,0.051143911,,,3.0
1406,0.564837396,,,3.0
4111,0.908921003,1.0,,
3237,0.872855186,1.0,,
198,0.072332315,,,3.0
3453,0.072332315,1.0,,
4407,0.516749859,,,3.0
2494,0.736887753,,,3.0
626,0.11435809,,,3.0
3223,0.093461998,1.0,,
2877,0.922532856,,,3.0
914,0.887038708,,,3.0
2947,0.961456835,,,3.0
1212,0.360975266,1.0,,
3583,0.653122962,,,3.0
51,0.776486397,,,3.0
916,0.60237205,,2.0,
4502,0.881661713,1.0,,
1093,0.58532089,1.0,,
4477,0.985069335,,2.0,
4524,0.402735442,,,3.0
290,0.615120709,,2.0,
2509,0.922359824,,2.0,
3010,0.607900083,,2.0,
1971,0.58532089,,,3.0
4249,0.220476165,,2.0,
4121,0.887116849,1.0,,
1482,0.942619443,,,3.0
2289,0.961456835,,,3.0
3539,0.360975266,1.0,,
73,0.833528161,,2.0,
1477,0.698932171,,2.0,
3618,0.453091055,,2.0,
4410,0.782198191,,,3.0
1315,0.066100329,,,3.0
3863,0.833321869,,2.0,
771,0.887116849,1.0,,
491,0.960043967,1.0,,
3306,0.729465306,1.0,,
710,0.884222865,,2.0,
3660,0.782198191,,,3.0
3535,0.453091055,,2.0,
4057,0.977680027,,2.0,
3363,0.851524055,,,3.0
2638,0.942619443,1.0,,
4065,0.95147568,,2.0,
3845,0.425917059,,2.0,
568,0.908921003,,,3.0
842,0.926077366,,2.0,
4292,0.901114106,,2.0,
763,0.114036284,,2.0,
668,0.11435809,,,3.0
3045,0.345757544,1.0,,
571,0.238480464,1.0,,
106,0.786312938,,,3.0
871,0.653122962,1.0,,
1360,0.181121677,1.0,,
536,0.974135041,1.0,,
3034,0.951740444,,2.0,
319,0.950175345,1.0,,
2815,0.095653899,,2.0,
4267,0.922359824,,2.0,
688,0.421680391,,2.0,
1972,0.372296005,,,3.0
2244,0.901114106,,2.0,
2013,0.181121677,1.0,,
910,0.093461998,,,3.0
3878,0.884222865,,2.0,
4456,0.881661713,,,3.0
2102,0.942619443,1.0,,
3390,0.044328522,1.0,,
1249,0.41264233,1.0,,
397,0.316559851,,2.0,
2120,0.961456835,1.0,,
3545,0.58532089,,,3.0
3949,0.177278742,,2.0,
1005,0.093461998,,,3.0
4283,0.780891478,,,3.0
1447,0.908921003,,,3.0
2201,0.776861906,,2.0,
3718,0.072332315,,,3.0
3636,0.061090276,1.0,,
801,0.922359824,,2.0,
1237,0.360975266,1.0,,
903,0.960043967,1.0,,
4508,0.789685607,,,3.0
3391,0.066100329,1.0,,
4176,0.114036284,,2.0,
3999,0.279691517,,2.0,
307,0.929427028,,2.0,
3569,0.58532089,,,3.0
2536,0.11435809,1.0,,
91,0.851983309,,2.0,
310,0.961456835,1.0,,
3555,0.432520777,,,3.0
2361,0.051143911,,,3.0
4367,0.908921003,,,3.0
4212,0.52405256,1.0,,
1698,0.736887753,,,3.0
3736,0.907498837,1.0,,
1487,0.279691517,,2.0,
4483,0.963675678,,,3.0
401,0.956047118,,,3.0
2264,0.048972692,1.0,,
2640,0.884222865,,2.0,
2193,0.872855186,,,3.0
3811,0.345757544,,,3.0
3445,0.488627106,,2.0,
2391,0.95228523,,,3.0
2110,0.929427028,,2.0,
3048,0.653122962,1.0,,
4158,0.181121677,,,3.0
1851,0.906686366,,2.0,
1298,0.965940714,,2.0,
4229,0.922359824,,2.0,
2113,0.965940714,,2.0,
2173,0.432520777,,,3.0
121,0.01467542,1.0,,
152,0.187820703,1.0,,
141,0.453091055,,2.0,
259,0.920934379,,,3.0
3170,0.432520777,1.0,,
2591,0.908921003,1.0,,
3546,0.152980477,,2.0,
3651,0.152980477,,2.0,
1501,0.840206027,1.0,,
3302,0.270306379,,,3.0
212,0.293639034,1.0,,
2191,0.114036284,,2.0,
2642,0.187820703,1.0,,
4271,0.238480464,,,3.0
2859,0.11435809,,,3.0
3617,0.961456835,1.0,,
3073,0.051143911,1.0,,
1723,0.960043967,,,3.0
3744,0.11435809,,,3.0
1934,0.942619443,1.0,,
39,0.050936382,,,3.0
4487,0.787415922,,,3.0
1425,0.745668769,,2.0,
520,0.066100329,,,3.0
2262,0.736887753,,,3.0
2380,0.887116849,,,3.0
3375,0.939510882,,,3.0
512,0.974135041,1.0,,
1126,0.679755628,1.0,,
1281,0.114036284,,2.0,
214,0.827987194,,,3.0
3675,0.939510882,,,3.0
2272,0.360975266,,,3.0
3450,0.934907258,1.0,,
1177,0.908921003,,,3.0
3698,0.425917059,,2.0,
