,TOXICITY,deaf
525,0.690275788,3
398,0.372296005,3
800,0.95228523,3
761,0.187960744,3
936,0.902898431,3
642,0.372296005,3
843,0.736887753,3
1156,0.360975266,3
1270,0.345757544,3
871,0.031451099,3
1157,0.278274506,3
1399,0.956047118,3
217,0.816484094,3
1155,0.360975266,3
4,0.109612994,3
1473,0.872855186,3
910,0.920223475,3
355,0.072332315,3
1240,0.887038708,3
327,0.872855186,3
856,0.950175345,3
138,0.908921003,3
516,0.375811279,3
1035,0.187820703,3
51,0.887038708,3
1122,0.214124158,3
29,0.817674994,3
87,0.293639034,3
329,0.270306379,3
847,0.257880718,3
1350,0.432520777,3
67,0.960043967,3
864,0.270306379,3
1281,0.360975266,3
451,0.960043967,3
1063,0.956047118,3
38,0.11110913,3
1422,0.051143911,3
218,0.432520777,3
1479,0.041406706,3
1048,0.181121677,3
11,0.065230019,3
838,0.653122962,3
300,0.908921003,3
612,0.961456835,3
187,0.051143911,3
219,0.11435809,3
736,0.880025566,3
754,0.360975266,3
388,0.044480793,3
727,0.543259263,3
1016,0.270306379,3
715,0.782198191,3
1196,0.922532856,3
768,0.653122962,3
789,0.051143911,3
177,0.093461998,3
733,0.117548816,3
364,0.749203205,3
144,0.754546404,3
269,0.974135041,3
598,0.950175345,3
1033,0.653122962,3
369,0.956047118,3
140,0.066100329,3
397,0.432520777,3
614,0.072332315,3
1128,0.270306379,3
673,0.270306379,3
1243,0.345757544,3
194,0.11435809,3
893,0.942619443,3
663,0.782198191,3
1495,0.963675678,3
1204,0.887116849,3
882,0.238480464,3
1120,0.782198191,3
1326,0.293639034,3
85,0.05878827,3
1398,0.187820703,3
1103,0.372296005,3
1219,0.653122962,3
1129,0.887116849,3
997,0.902898431,3
1135,0.11435809,3
849,0.944357216,3
395,0.360975266,3
1043,0.663137794,3
1189,0.254581004,3
907,0.372296005,3
771,0.736887753,3
562,0.974135041,3
68,0.372296005,3
1483,0.685794175,3
153,0.974135041,3
1210,0.908921003,3
635,0.187820703,3
1480,0.93608135,3
1275,0.956047118,3
699,0.345757544,3
399,0.11435809,3
139,0.372296005,3
824,0.653122962,3
43,0.908921003,3
1202,0.956047118,3
381,0.293639034,3
576,0.360975266,3
734,0.187820703,3
