,TOXICITY,paralyzed
228,0.653122962,1
1099,0.238480464,1
1389,0.923028469,1
281,0.950175345,1
1332,0.432520777,1
820,0.939510882,1
795,0.11435809,1
1175,0.270306379,1
818,0.181121677,1
1506,0.972359657,1
101,0.181121677,1
565,0.238480464,1
1174,0.031451099,1
66,0.896190822,1
398,0.360975266,1
64,0.293639034,1
1061,0.872855186,1
1424,0.887038708,1
1135,0.782198191,1
1110,0.942619443,1
367,0.849298835,1
1370,0.454376757,1
1037,0.432520777,1
1356,0.181121677,1
606,0.939510882,1
1299,0.58532089,1
1253,0.181121677,1
1325,0.960043967,1
733,0.902898431,1
1316,0.745035052,1
197,0.046291441,1
609,0.187820703,1
867,0.125006989,1
1461,0.602421582,1
1391,0.432520777,1
765,0.238480464,1
213,0.961456835,1
411,0.360975266,1
1416,0.270306379,1
1438,0.238480464,1
991,0.145333454,1
549,0.051143911,1
937,0.908921003,1
257,0.956047118,1
886,0.902898431,1
185,0.238480464,1
1499,0.881661713,1
998,0.736887753,1
1460,0.782198191,1
825,0.974135041,1
1497,0.787415922,1
52,0.092917405,1
899,0.051143911,1
17,0.052131962,1
1395,0.782198191,1
498,0.11435809,1
600,0.293639034,1
996,0.974135041,1
152,0.887116849,1
656,0.887116849,1
775,0.066100329,1
769,0.872855186,1
341,0.516749859,1
576,0.887116849,1
943,0.872855186,1
391,0.270306379,1
1108,0.072332315,1
646,0.372296005,1
543,0.187820703,1
172,0.956047118,1
935,0.072332315,1
710,0.360975266,1
54,0.360975266,1
1277,0.187820703,1
924,0.093461998,1
378,0.072332315,1
475,0.922532856,1
1329,0.908921003,1
1371,0.887038708,1
74,0.360975266,1
547,0.238480464,1
215,0.0753216,1
621,0.187820703,1
1203,0.942619443,1
994,0.345757544,1
931,0.87964195,1
224,0.238480464,1
168,0.974135041,1
1098,0.432520777,1
128,0.969892025,1
1085,0.960043967,1
755,0.872855186,1
1450,0.044791911,1
448,0.051143911,1
144,0.850866556,1
220,0.360975266,1
852,0.942619443,1
371,0.616854548,1
1464,0.908921003,1
1178,0.736887753,1
34,0.014127486,1
915,0.950175345,1
831,0.956047118,1
734,0.254581004,1
456,0.872855186,1
1164,0.956047118,1
139,0.187820703,1
348,0.890859842,1
783,0.903164387,1
1488,0.883235335,1
491,0.238480464,1
1035,0.950175345,1
193,0.372296005,1
493,0.902898431,1
1317,0.114271387,1
302,0.360975266,1
69,0.939510882,1
1465,0.736887753,1
686,0.093461998,1
1077,0.872855186,1
35,0.559734523,1
528,0.961456835,1
293,0.3144871,1
182,0.974135041,1
504,0.956047118,1
343,0.346606702,1
92,0.154152051,1
849,0.974135041,1
165,0.293639034,1
375,0.187820703,1
1193,0.887116849,1
243,0.360975266,1
1029,0.950175345,1
98,0.961456835,1
171,0.181121677,1
1328,0.922532856,1
992,0.33001551,1
1181,0.887038708,1
1321,0.949953079,1
1054,0.950175345,1
306,0.093461998,1
496,0.762353837,1
1180,0.150272876,1
1034,0.11435809,1
413,0.872855186,1
521,0.653122962,1
770,0.939510882,1
1103,0.736887753,1
1414,0.902898431,1
817,0.432520777,1
212,0.440792322,1
1406,0.872855186,1
951,0.950175345,1
976,0.072332315,1
753,0.942619443,1
1337,0.093461998,1
1157,0.887116849,1
1258,0.908921003,1
1086,0.238480464,1
866,0.093461998,1
804,0.942619443,1
4,0.581285596,1
1201,0.293639034,1
515,0.162078604,1
1457,0.238480464,1
1003,0.345757544,1
1509,0.675607383,1
1247,0.942619443,1
1222,0.58532089,1
516,0.293639034,1
1018,0.238480464,1
286,0.066100329,1
1196,0.360975266,1
1307,0.908921003,1
1207,0.902898431,1
1239,0.094757773,1
858,0.908921003,1
654,0.116066873,1
151,0.181121677,1
176,0.974135041,1
27,0.69086802,1
405,0.360975266,1
1006,0.360975266,1
1254,0.736887753,1
578,0.912243962,1
973,0.974135041,1
941,0.360975266,1
285,0.950175345,1
972,0.960043967,1
912,0.066100329,1
1089,0.782198191,1
1326,0.066100329,1
558,0.908921003,1
712,0.922532856,1
231,0.956047118,1
1162,0.360975266,1
1392,0.887116849,1
1280,0.360975266,1
807,0.187820703,1
891,0.270306379,1
1100,0.961456835,1
1071,0.066100329,1
682,0.939510882,1
344,0.942619443,1
157,0.325663477,1
1261,0.944357216,1
1394,0.887038708,1
117,0.360975266,1
726,0.293639034,1
1232,0.112010412,1
113,0.093461998,1
1043,0.181121677,1
911,0.066100329,1
426,0.093461998,1
1165,0.736887753,1
461,0.887038708,1
443,0.432520777,1
132,0.782198191,1
762,0.187820703,1
187,0.736887753,1
857,0.117548816,1
1471,0.960043967,1
1333,0.372296005,1
887,0.908921003,1
743,0.922532856,1
729,0.048972692,1
502,0.372296005,1
757,0.360975266,1
313,0.345757544,1
296,0.960043967,1
449,0.360975266,1
1150,0.072332315,1
512,0.432520777,1
791,0.881186485,1
933,0.107628815,1
813,0.960043967,1
382,0.051143911,1
379,0.11435809,1
381,0.432520777,1
33,0.052131962,1
884,0.950175345,1
1147,0.961456835,1
738,0.865729153,1
689,0.887116849,1
6,0.150509447,1
266,0.887038708,1
1493,0.967850506,1
106,0.051143911,1
676,0.961456835,1
1167,0.736887753,1
856,0.244852215,1
1407,0.372296005,1
1262,0.293639034,1
1282,0.345757544,1
1045,0.956047118,1
3,0.322414666,1
826,0.345757544,1
457,0.337609708,1
664,0.887038708,1
1365,0.887116849,1
1286,0.072332315,1
718,0.360975266,1
1148,0.360975266,1
1436,0.181121677,1
632,0.11435809,1
880,0.922532856,1
70,0.887038708,1
1091,0.902898431,1
723,0.803101361,1
1263,0.887116849,1
1418,0.345757544,1
960,0.072332315,1
271,0.066100329,1
1170,0.902898431,1
1046,0.58532089,1
630,0.736887753,1
1074,0.187960744,1
894,0.887038708,1
