ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,default payment next month (y-truth),Final Calculation,Profit - Status,Favor/Unfavor(y-pred)
54,30000,2,3,1,21,0,10.69,approved,unfavorable
66,20000,2,2,2,21,0,101.95,approved,favorable
10,30000,1,2,2,21,0,15.99333333,approved,unfavorable
0,20000,2,2,2,21,0,78.235,approved,favorable
32,20000,2,2,1,21,1,90,rejected,favorable
30,20000,1,2,2,21,0,12.35,approved,unfavorable
28,10000,2,5,2,21,0,35.01,approved,unfavorable
41,10000,2,1,2,21,0,30.26,approved,unfavorable
20,30000,2,3,2,21,0,17.97,approved,unfavorable
26,30000,2,2,2,21,0,68.64666667,approved,favorable
64,20000,2,2,1,21,0,34.63,approved,unfavorable
15,10000,1,2,2,21,1,12.63,rejected,unfavorable
19,20000,2,2,2,21,0,41.7,approved,unfavorable
13,30000,2,2,2,21,0,9.77,approved,unfavorable
56,20000,1,2,2,21,0,14.715,approved,unfavorable
4,10000,1,2,2,21,0,32.32,approved,unfavorable
8,10000,1,2,2,21,0,52.97,approved,favorable
47,10000,1,2,2,21,1,14.01,rejected,unfavorable
57,20000,1,6,2,21,0,39.165,approved,unfavorable
33,30000,2,3,1,21,1,-17.26333333,rejected,unfavorable
23,20000,2,1,2,21,0,20.46,approved,unfavorable
34,50000,1,2,1,21,0,9.646,approved,unfavorable
21,30000,2,2,2,21,0,15.87666667,approved,unfavorable
60,10000,2,2,2,21,0,35.42,approved,unfavorable
46,10000,1,2,2,21,0,41.73,approved,unfavorable
36,20000,1,2,2,21,0,6.305,approved,unfavorable
43,20000,2,2,1,21,0,19.36,approved,unfavorable
37,30000,2,2,2,21,1,18.20333333,rejected,unfavorable
61,30000,2,2,1,21,0,9.2,approved,unfavorable
545,20000,1,2,2,22,1,2.72,rejected,unfavorable
149,30000,2,3,2,22,0,214.1933333,approved,favorable
425,20000,2,2,2,22,0,37.435,approved,unfavorable
527,20000,2,1,2,22,0,28.74,approved,unfavorable
268,50000,2,2,2,22,0,89.722,approved,favorable
377,10000,2,1,2,22,0,14.84,approved,unfavorable
443,20000,2,2,2,22,0,21.44,approved,unfavorable
558,30000,2,2,2,22,0,21.27,approved,unfavorable
396,70000,2,2,2,22,0,6.082857143,approved,unfavorable
496,80000,2,2,2,22,0,6.58625,approved,unfavorable
347,30000,2,2,2,22,0,173.6266667,approved,favorable
100,50000,2,1,2,22,1,89.422,rejected,favorable
