ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month,Raw,Final Calculation,Profit - Status
530,20000,2,2,2,21,-1,-1,2,2,-1,-1,18763,14410,13771,362,5308,0,14410,0,28,22073,0,0,0,78.235,78.235,approved
1225,20000,1,2,2,21,0,0,-1,0,0,-2,20297,17054,2333,1300,0,0,1240,2333,0,0,0,0,0,4.715,4.715,approved
1472,20000,1,2,2,21,0,0,2,0,0,-2,19277,20997,20200,20000,0,0,5000,0,0,0,0,0,1,28.615,18.615,rejected
2207,20000,2,1,2,21,0,0,0,0,0,-1,17471,14129,13937,9429,1393,2055,1400,3500,1567,162,2055,0,0,19.645,19.645,approved
2213,10000,1,2,2,21,0,0,0,0,0,0,7985,8677,9070,8880,9580,9000,1217,1000,200,700,200,0,0,32.32,32.32,approved
3148,50000,2,2,2,21,-1,-1,-1,-1,-1,-1,390,1499,780,797,1166,0,1499,780,797,1166,0,0,1,102.218,92.218,rejected
3285,60000,2,2,2,21,0,0,0,0,0,0,40969,32724,24975,25475,26010,26183,1859,1410,910,939,1000,1000,0,34.81666667,34.81666667,approved
3309,10000,2,2,2,21,0,0,0,0,0,0,7888,8987,9604,9800,10000,0,1383,1000,196,200,1000,0,0,34.95,34.95,approved
4272,10000,1,2,2,21,0,0,0,0,-1,-1,6703,8422,9205,9393,4176,0,2000,1000,188,2538,0,0,0,52.97,52.97,approved
4391,10000,2,2,2,21,0,0,0,-1,-1,-2,8660,9756,8560,780,0,0,1800,1300,800,0,1900,0,1,31.4,21.4,rejected
4486,30000,1,2,2,21,0,0,0,0,0,0,26587,25917,17072,15994,12017,5614,1385,1270,367,336,112,0,0,15.99333333,15.99333333,approved
5236,20000,2,2,2,21,1,3,2,2,-1,-1,21003,20260,9686,0,6884,0,39,0,5000,13749,0,0,1,-4.82,-14.82,rejected
5484,20000,2,2,2,21,0,-1,-1,-2,-2,-2,20000,1685,0,0,0,0,1685,0,0,0,0,0,0,8.425,8.425,approved
6014,30000,2,2,2,21,0,0,0,0,0,0,28871,28430,29051,29265,28267,28925,1802,1802,1358,1100,1151,1568,0,9.77,9.77,approved
6087,30000,2,2,2,21,0,0,0,0,0,0,17444,11276,13324,5427,4521,0,2276,2328,1435,90,0,0,0,49.44,49.44,approved
6430,10000,1,2,2,21,0,0,0,0,0,0,9042,10038,9784,9984,9780,0,1305,1000,200,196,0,0,1,22.63,12.63,rejected
6734,20000,2,2,2,21,0,0,0,0,0,0,18770,18410,18821,19307,19260,20028,1400,1200,1000,6000,1000,5000,0,13.15,13.15,approved
