ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,default payment next month (y-truth),Final Calculation,Profit - Status,Favor/Unfavor(y-pred)
73,100000,1,3,1,40,0,89.122,approved,favorable
125,50000,2,2,1,40,1,-0.348,rejected,unfavorable
359,190000,2,1,2,40,0,60.63789474,approved,favorable
69,210000,2,3,1,40,0,11.96047619,approved,unfavorable
49,200000,2,1,1,40,0,102.766,approved,favorable
813,130000,2,3,2,40,0,27.78923077,approved,unfavorable
264,20000,1,1,1,40,0,-36.66,approved,unfavorable
592,160000,1,2,1,40,0,38.705,approved,unfavorable
451,50000,2,2,2,40,1,-6.054,rejected,unfavorable
305,50000,2,2,1,40,0,29.104,approved,unfavorable
29,240000,2,3,1,40,0,100.0229167,approved,favorable
586,180000,1,1,1,40,1,90,rejected,favorable
782,20000,2,3,2,40,0,10.8,approved,unfavorable
110,80000,2,1,2,40,0,68.00125,approved,favorable
135,200000,1,2,1,40,1,85.1205,rejected,favorable
239,100000,2,1,1,40,0,100,approved,favorable
537,110000,2,2,1,40,0,6.331818182,approved,unfavorable
464,50000,1,2,1,40,1,-8.078,rejected,unfavorable
317,250000,1,1,1,40,0,100,approved,favorable
816,300000,2,1,1,40,0,100.7293333,approved,favorable
462,100000,1,2,1,40,1,19.238,rejected,unfavorable
323,340000,2,3,1,40,0,48.78264706,approved,unfavorable
606,200000,1,2,2,40,1,-3.2115,rejected,unfavorable
269,10000,2,2,1,40,0,119.12,approved,favorable
143,150000,2,1,1,40,0,111.8006667,approved,favorable
842,180000,2,1,1,40,1,90.17722222,rejected,favorable
95,120000,2,2,2,40,0,97.35,approved,favorable
280,500000,2,1,1,40,0,99.5758,approved,favorable
56,290000,1,1,1,40,0,67.43413793,approved,favorable
212,120000,1,3,1,40,0,30.67916667,approved,unfavorable
769,300000,1,3,1,40,0,87.70566667,approved,favorable
442,200000,2,2,1,40,0,102.3505,approved,favorable
246,20000,1,2,1,40,0,-7.235,approved,unfavorable
78,250000,2,2,2,40,0,100.4276,approved,favorable
445,60000,2,2,1,40,1,24.63,rejected,unfavorable
191,30000,1,2,1,40,0,48.24666667,approved,unfavorable
452,80000,2,3,1,40,0,99.23625,approved,favorable
162,200000,2,1,1,40,0,100,approved,favorable
156,180000,2,2,1,40,0,87.88055556,approved,favorable
148,110000,1,2,2,40,0,5.280909091,approved,unfavorable
670,230000,2,2,1,40,0,99.7,approved,favorable
847,210000,1,1,1,40,0,100.2595238,approved,favorable
821,100000,2,1,1,40,1,88.105,rejected,favorable
634,100000,2,3,1,40,1,76.722,rejected,favorable
818,130000,2,2,1,40,1,50.35615385,rejected,favorable
780,20000,1,3,2,40,1,9.885,rejected,unfavorable
526,260000,2,1,2,40,0,100,approved,favorable
300,100000,2,2,1,40,0,12.695,approved,unfavorable
646,150000,2,2,2,40,0,51.61533333,approved,favorable
756,560000,1,1,2,40,0,15.73517857,approved,unfavorable
840,200000,2,1,1,40,0,157.279,approved,favorable
650,190000,2,5,1,40,0,70.69315789,approved,favorable
616,120000,2,2,1,40,0,17.41333333,approved,unfavorable
566,130000,2,2,1,40,0,1.416153846,approved,unfavorable
361,360000,2,2,1,40,0,4.966111111,approved,unfavorable
820,50000,1,2,2,40,0,-14.262,approved,unfavorable
729,260000,2,3,1,40,0,100.0023077,approved,favorable
32,150000,2,2,2,40,0,102.6213333,approved,favorable
564,500000,2,3,2,40,0,70.0078,approved,favorable
399,200000,1,2,1,40,0,55.406,approved,favorable
97,240000,2,2,1,40,1,89.47416667,rejected,favorable
685,380000,1,1,2,40,0,38.66605263,approved,unfavorable
297,240000,2,1,1,40,0,100,approved,favorable
627,330000,2,3,1,40,0,76.36848485,approved,favorable
824,200000,2,1,2,40,0,104.242,approved,favorable
527,340000,2,2,1,40,0,88.96764706,approved,favorable
108,100000,2,2,1,40,1,44.757,rejected,unfavorable
206,500000,1,2,2,40,0,113.196,approved,favorable
205,270000,1,1,2,40,0,33.90962963,approved,unfavorable
492,80000,2,2,1,40,0,20.8325,approved,unfavorable
802,100000,2,3,1,40,0,102.929,approved,favorable
391,420000,2,2,1,40,0,93.41404762,approved,favorable
617,110000,2,3,1,40,0,8.184545455,approved,unfavorable
304,160000,2,5,2,40,0,11.264375,approved,unfavorable
349,20000,1,3,2,40,1,72,rejected,favorable
101,250000,2,2,1,40,0,99.2396,approved,favorable
397,230000,1,1,1,40,0,63.97,approved,favorable
667,200000,2,2,1,40,0,99.2395,approved,favorable
707,310000,1,2,1,40,0,96.67903226,approved,favorable
216,170000,1,1,1,40,0,3.352352941,approved,unfavorable
575,90000,1,3,3,40,1,32.96333333,rejected,unfavorable
128,750000,2,3,1,40,0,99.87306667,approved,favorable
530,230000,2,2,1,40,0,100,approved,favorable
114,250000,2,1,1,40,1,90,rejected,favorable
654,260000,2,3,2,40,0,101.0538462,approved,favorable
255,230000,2,3,1,40,0,113.2165217,approved,favorable
420,60000,2,2,2,40,0,0.74,approved,unfavorable
517,90000,2,3,1,40,0,57.25888889,approved,favorable
827,180000,2,1,1,40,0,93.545,approved,favorable
695,30000,1,2,2,40,0,38.61,approved,unfavorable
93,180000,1,3,1,40,0,100,approved,favorable
121,290000,1,3,1,40,0,50.27724138,approved,favorable
142,70000,2,3,2,40,0,33.55142857,approved,unfavorable
370,80000,2,2,1,40,0,101.64375,approved,favorable
690,360000,1,2,1,40,1,90.23277778,rejected,favorable
458,20000,1,3,1,40,0,65.01,approved,favorable
334,210000,1,1,1,40,0,43.28190476,approved,unfavorable
608,30000,1,2,3,40,0,93.59333333,approved,favorable
35,200000,2,2,2,40,1,5.749,rejected,unfavorable
91,200000,1,3,1,40,1,46.316,rejected,unfavorable
804,220000,2,2,1,40,0,99.27181818,approved,favorable
638,200000,2,2,1,40,0,90.268,approved,favorable
686,290000,1,1,1,40,0,68.55413793,approved,favorable
706,90000,1,2,1,40,0,6.531111111,approved,unfavorable
70,160000,2,1,2,40,0,59.74,approved,favorable
109,180000,2,1,2,40,0,100,approved,favorable
159,340000,2,1,2,40,0,81.98205882,approved,favorable
13,250000,2,2,1,40,0,130.0444,approved,favorable
84,180000,2,3,1,40,0,98.94277778,approved,favorable
495,440000,2,1,1,40,0,9.194545455,approved,unfavorable
465,20000,1,3,2,40,0,22.035,approved,unfavorable
470,90000,2,2,1,40,1,-16.94333333,rejected,unfavorable
72,140000,1,1,1,40,1,-4.095714286,rejected,unfavorable
