{threshold: 1, profit: 72692}
{threshold: 2, profit: 72101}
{threshold: 3, profit: 70820}
{threshold: 4, profit: 69467}
{threshold: 5, profit: 67784}
{threshold: 6, profit: 66005}
{threshold: 7, profit: 64292}
{threshold: 8, profit: 62855}
{threshold: 9, profit: 61376}
{threshold: 10, profit: 60062}
{threshold: 11, profit: 58790}
{threshold: 12, profit: 57662}
{threshold: 13, profit: 56672}
{threshold: 14, profit: 55790}
{threshold: 15, profit: 54914}
{threshold: 16, profit: 54206}
{threshold: 17, profit: 53327}
{threshold: 18, profit: 52622}
{threshold: 19, profit: 52025}
{threshold: 20, profit: 51158}
{threshold: 21, profit: 50372}
{threshold: 22, profit: 49883}
{threshold: 23, profit: 49208}
{threshold: 24, profit: 48776}
{threshold: 25, profit: 48269}
{threshold: 26, profit: 47603}
{threshold: 27, profit: 46946}
{threshold: 28, profit: 46331}
{threshold: 29, profit: 45626}
{threshold: 30, profit: 45038}
{threshold: 31, profit: 44630}
{threshold: 32, profit: 44081}
{threshold: 33, profit: 43301}
{threshold: 34, profit: 42785}
{threshold: 35, profit: 42185}
{threshold: 36, profit: 41681}
{threshold: 37, profit: 41177}
{threshold: 38, profit: 40625}
{threshold: 39, profit: 40064}
{threshold: 40, profit: 39518}
{threshold: 41, profit: 38945}
{threshold: 42, profit: 38414}
{threshold: 43, profit: 37886}
{threshold: 44, profit: 37475}
{threshold: 45, profit: 36914}
{threshold: 46, profit: 36476}
{threshold: 47, profit: 35990}
{threshold: 48, profit: 35411}
{threshold: 49, profit: 34793}
{threshold: 50, profit: 34349}
{threshold: 51, profit: 33842}
{threshold: 52, profit: 33182}
{threshold: 53, profit: 32498}
{threshold: 54, profit: 31985}
{threshold: 55, profit: 31376}
{threshold: 56, profit: 30701}
{threshold: 57, profit: 30206}
{threshold: 58, profit: 29783}
{threshold: 59, profit: 29285}
{threshold: 60, profit: 28733}
{threshold: 61, profit: 28196}
{threshold: 62, profit: 27722}
{threshold: 63, profit: 27197}
{threshold: 64, profit: 26759}
{threshold: 65, profit: 26111}
{threshold: 66, profit: 25589}
{threshold: 67, profit: 25010}
{threshold: 68, profit: 24563}
{threshold: 69, profit: 23966}
{threshold: 70, profit: 23291}
{threshold: 71, profit: 22682}
{threshold: 72, profit: 22241}
{threshold: 73, profit: 21632}
{threshold: 74, profit: 20990}
{threshold: 75, profit: 20324}
{threshold: 76, profit: 19829}
{threshold: 77, profit: 19154}
{threshold: 78, profit: 18542}
{threshold: 79, profit: 17813}
{threshold: 80, profit: 17060}
{threshold: 81, profit: 16334}
{threshold: 82, profit: 15722}
{threshold: 83, profit: 14975}
{threshold: 84, profit: 14345}
{threshold: 85, profit: 13610}
{threshold: 86, profit: 12881}
{threshold: 87, profit: 12023}
{threshold: 88, profit: 11324}
{threshold: 89, profit: 10298}
{threshold: 90, profit: 9617}
{threshold: 91, profit: 9197}
{threshold: 92, profit: 8123}
{threshold: 93, profit: 7043}
{threshold: 94, profit: 5735}
{threshold: 95, profit: 4070}
{threshold: 96, profit: 2324}
{threshold: 97, profit: 176}
{threshold: 98, profit: -2671}
{threshold: 99, profit: -6772}
{threshold: 100, profit: -14491}
