{threshold: 1, profit: 30645}
{threshold: 2, profit: 30336}
{threshold: 3, profit: 29547}
{threshold: 4, profit: 28734}
{threshold: 5, profit: 28023}
{threshold: 6, profit: 27456}
{threshold: 7, profit: 26349}
{threshold: 8, profit: 25497}
{threshold: 9, profit: 24564}
{threshold: 10, profit: 23925}
{threshold: 11, profit: 23343}
{threshold: 12, profit: 22761}
{threshold: 13, profit: 22296}
{threshold: 14, profit: 21891}
{threshold: 15, profit: 21498}
{threshold: 16, profit: 21144}
{threshold: 17, profit: 20844}
{threshold: 18, profit: 20478}
{threshold: 19, profit: 20193}
{threshold: 20, profit: 19938}
{threshold: 21, profit: 19677}
{threshold: 22, profit: 19356}
{threshold: 23, profit: 19029}
{threshold: 24, profit: 18783}
{threshold: 25, profit: 18510}
{threshold: 26, profit: 18246}
{threshold: 27, profit: 17940}
{threshold: 28, profit: 17607}
{threshold: 29, profit: 17379}
{threshold: 30, profit: 17217}
{threshold: 31, profit: 17049}
{threshold: 32, profit: 16833}
{threshold: 33, profit: 16635}
{threshold: 34, profit: 16455}
{threshold: 35, profit: 16293}
{threshold: 36, profit: 16110}
{threshold: 37, profit: 15822}
{threshold: 38, profit: 15654}
{threshold: 39, profit: 15426}
{threshold: 40, profit: 15303}
{threshold: 41, profit: 15138}
{threshold: 42, profit: 14871}
{threshold: 43, profit: 14670}
{threshold: 44, profit: 14376}
{threshold: 45, profit: 14085}
{threshold: 46, profit: 13941}
{threshold: 47, profit: 13704}
{threshold: 48, profit: 13545}
{threshold: 49, profit: 13212}
{threshold: 50, profit: 13017}
{threshold: 51, profit: 12825}
{threshold: 52, profit: 12600}
{threshold: 53, profit: 12402}
{threshold: 54, profit: 12198}
{threshold: 55, profit: 12009}
{threshold: 56, profit: 11820}
{threshold: 57, profit: 11562}
{threshold: 58, profit: 11286}
{threshold: 59, profit: 11097}
{threshold: 60, profit: 10803}
{threshold: 61, profit: 10464}
{threshold: 62, profit: 10263}
{threshold: 63, profit: 10104}
{threshold: 64, profit: 9867}
{threshold: 65, profit: 9582}
{threshold: 66, profit: 9324}
{threshold: 67, profit: 9177}
{threshold: 68, profit: 8919}
{threshold: 69, profit: 8709}
{threshold: 70, profit: 8478}
{threshold: 71, profit: 8328}
{threshold: 72, profit: 8088}
{threshold: 73, profit: 7854}
{threshold: 74, profit: 7755}
{threshold: 75, profit: 7413}
{threshold: 76, profit: 7236}
{threshold: 77, profit: 7062}
{threshold: 78, profit: 6828}
{threshold: 79, profit: 6633}
{threshold: 80, profit: 6381}
{threshold: 81, profit: 6132}
{threshold: 82, profit: 5913}
{threshold: 83, profit: 5646}
{threshold: 84, profit: 5520}
{threshold: 85, profit: 5262}
{threshold: 86, profit: 4956}
{threshold: 87, profit: 4737}
{threshold: 88, profit: 4332}
{threshold: 89, profit: 4092}
{threshold: 90, profit: 3894}
{threshold: 91, profit: 3984}
{threshold: 92, profit: 3681}
{threshold: 93, profit: 3291}
{threshold: 94, profit: 2850}
{threshold: 95, profit: 2496}
{threshold: 96, profit: 1956}
{threshold: 97, profit: 1113}
{threshold: 98, profit: 318}
{threshold: 99, profit: -1377}
{threshold: 100, profit: -5094}
