age,absences,0
15,0,47
15,1,2
15,2,21
15,3,1
15,4,16
15,6,10
15,7,1
15,8,7
15,10,2
15,11,3
15,16,1
15,24,1
16,0,70
16,1,6
16,2,30
16,3,1
16,4,29
16,5,2
16,6,19
16,7,2
16,8,7
16,10,1
16,11,1
16,12,4
16,14,2
16,16,3
17,0,70
17,1,2
17,2,32
17,3,1
17,4,22
17,5,5
17,6,8
17,8,12
17,9,1
17,10,8
17,12,3
17,14,5
17,15,1
17,16,2
17,18,2
17,21,1
17,22,2
17,30,1
17,32,1
18,0,43
18,1,2
18,2,24
18,3,4
18,4,19
18,5,3
18,6,10
18,8,12
18,9,5
18,10,9
18,11,1
18,12,1
18,13,1
18,14,1
18,15,1
18,16,2
18,18,1
18,26,1
19,0,12
19,2,3
19,4,7
19,5,1
19,6,2
19,8,1
19,9,1
19,10,1
19,12,2
19,16,2
20,0,1
20,5,1
20,8,3
20,12,1
21,0,1
21,21,1
22,12,1
